user_query,chatbot_response,retrieved_contexts,relevant_contexts,faithfulness,answer_relevance
What is the best type of mango?,The Alphonso mango is often considered the best due to its sweetness and rich flavor.,"['Alphonso mango is known for its sweetness and rich flavor.', 'There are many types of mangoes, each with unique characteristics.']",['Alphonso mango is known for its sweetness and rich flavor.'],1.0,0.95
How many calories are in a cup of mango?,There are approximately 99 calories in a cup of sliced mango.,"['A cup of sliced mango contains about 99 calories.', 'Mangoes are a healthy fruit choice.']",['A cup of sliced mango contains about 99 calories.'],1.0,0.95
What are the health benefits of eating mangoes?,"Mangoes are rich in vitamins A and C, and they provide dietary fiber and antioxidants.","['Mangoes are rich in vitamins A and C.', 'Mangoes provide dietary fiber and antioxidants.']","['Mangoes are rich in vitamins A and C.', 'Mangoes provide dietary fiber and antioxidants.']",1.0,0.95
Where do mangoes grow best?,Mangoes grow best in tropical and subtropical climates.,"['Mangoes grow best in tropical and subtropical climates.', 'Regions like India, Mexico, and Thailand are known for mango production.']",['Mangoes grow best in tropical and subtropical climates.'],1.0,0.9
Which country produces the most mangoes?,India is the largest producer of mangoes in the world.,"['India is the largest producer of mangoes.', 'Mangoes are also widely produced in China, Thailand, and Indonesia.']",['India is the largest producer of mangoes.'],1.0,0.95
Can mangoes help with digestion?,"Yes, mangoes contain enzymes that aid in digestion.","['Mangoes contain digestive enzymes.', 'Eating mangoes can help improve digestion.']",['Mangoes contain digestive enzymes.'],1.0,0.9
Sample query 1,Sample response 1,"['Sample context 1a.', 'Sample context 1b.']",['Sample context 1a.'],0.806539776325813,0.9938246503717363
Sample query 2,Sample response 2,"['Sample context 2a.', 'Sample context 2b.']",['Sample context 2a.'],0.8758875407846457,0.9612071838266972
Sample query 3,Sample response 3,"['Sample context 3a.', 'Sample context 3b.']",['Sample context 3a.'],0.9507788581159502,0.9785105278687954
Sample query 4,Sample response 4,"['Sample context 4a.', 'Sample context 4b.']",['Sample context 4a.'],0.8663367550820201,0.9135560322005121
Sample query 5,Sample response 5,"['Sample context 5a.', 'Sample context 5b.']",['Sample context 5a.'],0.9285105520798538,0.8304336136783289
Sample query 6,Sample response 6,"['Sample context 6a.', 'Sample context 6b.']",['Sample context 6a.'],0.8287516694265601,0.8120741806209537
Sample query 7,Sample response 7,"['Sample context 7a.', 'Sample context 7b.']",['Sample context 7a.'],0.9571407123246458,0.8242711170912473
Sample query 8,Sample response 8,"['Sample context 8a.', 'Sample context 8b.']",['Sample context 8a.'],0.8162496189177294,0.8285103471388267
Sample query 9,Sample response 9,"['Sample context 9a.', 'Sample context 9b.']",['Sample context 9a.'],0.9287816958472859,0.8522264085594798
Sample query 10,Sample response 10,"['Sample context 10a.', 'Sample context 10b.']",['Sample context 10a.'],0.8438450392910033,0.98533568511461
Sample query 11,Sample response 11,"['Sample context 11a.', 'Sample context 11b.']",['Sample context 11a.'],0.9222853092286101,0.9292457768642803
Sample query 12,Sample response 12,"['Sample context 12a.', 'Sample context 12b.']",['Sample context 12a.'],0.9019307936080683,0.8953644737725878
Sample query 13,Sample response 13,"['Sample context 13a.', 'Sample context 13b.']",['Sample context 13a.'],0.9972790705073669,0.8090977934797705
Sample query 14,Sample response 14,"['Sample context 14a.', 'Sample context 14b.']",['Sample context 14a.'],0.8441739314331943,0.8565172199305177
Sample query 15,Sample response 15,"['Sample context 15a.', 'Sample context 15b.']",['Sample context 15a.'],0.9127518780250711,0.9740243489393698
Sample query 16,Sample response 16,"['Sample context 16a.', 'Sample context 16b.']",['Sample context 16a.'],0.8877801982140654,0.9000004273642841
Sample query 17,Sample response 17,"['Sample context 17a.', 'Sample context 17b.']",['Sample context 17a.'],0.9485102762441535,0.8566203055926749
Sample query 18,Sample response 18,"['Sample context 18a.', 'Sample context 18b.']",['Sample context 18a.'],0.8964163475586441,0.9411223729695655
Sample query 19,Sample response 19,"['Sample context 19a.', 'Sample context 19b.']",['Sample context 19a.'],0.9284891931179141,0.8027186230137267
Sample query 20,Sample response 20,"['Sample context 20a.', 'Sample context 20b.']",['Sample context 20a.'],0.8391747805162453,0.8196812946209028
Sample query 21,Sample response 21,"['Sample context 21a.', 'Sample context 21b.']",['Sample context 21a.'],0.8538114664047702,0.8668460635695923
Sample query 22,Sample response 22,"['Sample context 22a.', 'Sample context 22b.']",['Sample context 22a.'],0.8818059634134024,0.9275243481954825
Sample query 23,Sample response 23,"['Sample context 23a.', 'Sample context 23b.']",['Sample context 23a.'],0.9438174014047445,0.9984565819323646
Sample query 24,Sample response 24,"['Sample context 24a.', 'Sample context 24b.']",['Sample context 24a.'],0.9875431742056311,0.9458958757005631
Sample query 25,Sample response 25,"['Sample context 25a.', 'Sample context 25b.']",['Sample context 25a.'],0.8903189633430304,0.8459118807180607
Sample query 26,Sample response 26,"['Sample context 26a.', 'Sample context 26b.']",['Sample context 26a.'],0.9042043146290197,0.966349821609294
Sample query 27,Sample response 27,"['Sample context 27a.', 'Sample context 27b.']",['Sample context 27a.'],0.8049972207571696,0.8822746453193749
Sample query 28,Sample response 28,"['Sample context 28a.', 'Sample context 28b.']",['Sample context 28a.'],0.9341935042597173,0.9301498014571554
Sample query 29,Sample response 29,"['Sample context 29a.', 'Sample context 29b.']",['Sample context 29a.'],0.9480790751205106,0.8303494927687539
Sample query 30,Sample response 30,"['Sample context 30a.', 'Sample context 30b.']",['Sample context 30a.'],0.8600717029860522,0.901313355722013
Sample query 31,Sample response 31,"['Sample context 31a.', 'Sample context 31b.']",['Sample context 31a.'],0.9833136633974862,0.8422050008574656
Sample query 32,Sample response 32,"['Sample context 32a.', 'Sample context 32b.']",['Sample context 32a.'],0.8693328890570365,0.898899131667987
Sample query 33,Sample response 33,"['Sample context 33a.', 'Sample context 33b.']",['Sample context 33a.'],0.8822139887874069,0.9521642872838755
Sample query 34,Sample response 34,"['Sample context 34a.', 'Sample context 34b.']",['Sample context 34a.'],0.9721694877237782,0.9968369481106205
Sample query 35,Sample response 35,"['Sample context 35a.', 'Sample context 35b.']",['Sample context 35a.'],0.8485098339256028,0.8452417975252269
Sample query 36,Sample response 36,"['Sample context 36a.', 'Sample context 36b.']",['Sample context 36a.'],0.9707464667774255,0.9319598859461976
Sample query 37,Sample response 37,"['Sample context 37a.', 'Sample context 37b.']",['Sample context 37a.'],0.9784723910094402,0.8171249303367883
Sample query 38,Sample response 38,"['Sample context 38a.', 'Sample context 38b.']",['Sample context 38a.'],0.8661185975508432,0.9842190322331393
Sample query 39,Sample response 39,"['Sample context 39a.', 'Sample context 39b.']",['Sample context 39a.'],0.825996479792111,0.8269219651508596
Sample query 40,Sample response 40,"['Sample context 40a.', 'Sample context 40b.']",['Sample context 40a.'],0.8644337735417555,0.8293269117897041
Sample query 41,Sample response 41,"['Sample context 41a.', 'Sample context 41b.']",['Sample context 41a.'],0.9435788767681165,0.9022438990242383
Sample query 42,Sample response 42,"['Sample context 42a.', 'Sample context 42b.']",['Sample context 42a.'],0.8105710306180021,0.895648076370018
Sample query 43,Sample response 43,"['Sample context 43a.', 'Sample context 43b.']",['Sample context 43a.'],0.9511487202088882,0.9910995087297724
Sample query 44,Sample response 44,"['Sample context 44a.', 'Sample context 44b.']",['Sample context 44a.'],0.9608407472478401,0.8957989064608645
Sample query 45,Sample response 45,"['Sample context 45a.', 'Sample context 45b.']",['Sample context 45a.'],0.8472388067289534,0.8050056478578604
Sample query 46,Sample response 46,"['Sample context 46a.', 'Sample context 46b.']",['Sample context 46a.'],0.8239223843360667,0.9363577720607508
Sample query 47,Sample response 47,"['Sample context 47a.', 'Sample context 47b.']",['Sample context 47a.'],0.8527797472709303,0.9908132926060742
Sample query 48,Sample response 48,"['Sample context 48a.', 'Sample context 48b.']",['Sample context 48a.'],0.9654379455999021,0.9101695819683713
