user_query,chatbot_response,retrieved_contexts,relevant_contexts,faithfulness,answer_relevance
Where do mangoes originally come from?,"Mangoes are native to South Asia and have been cultivated for over 4,000 years.","['Mangoes originated in South Asia and have been cultivated for over 4,000 years.', 'Mangoes have a long history of cultivation in South Asia.']","['Mangoes originated in South Asia and have been cultivated for over 4,000 years.']",0.98,0.92
Can you recommend a sweet but less common type of mango?,The Kesar mango is known for its unique sweetness and is less common compared to other varieties.,"['Kesar mango is known for its unique sweetness and is less common compared to other varieties.', 'There are many types of mangoes, each with unique characteristics.']",['Kesar mango is known for its unique sweetness and is less common compared to other varieties.'],0.96,0.9
Are there any savory recipes using mangoes?,"Yes, mango salsa is a popular savory dish that combines mangoes with onions, peppers, and cilantro.","['Mango salsa is a popular savory dish that combines mangoes with onions, peppers, and cilantro.', 'There are many savory recipes that use mangoes as a key ingredient.']","['Mango salsa is a popular savory dish that combines mangoes with onions, peppers, and cilantro.']",0.97,0.91
What is the peak season for mangoes?,"The peak season for mangoes is typically from April to August, varying by region and variety.","['The peak season for mangoes is typically from April to August, varying by region and variety.', 'Mangoes have different peak seasons depending on the variety and region.']","['The peak season for mangoes is typically from April to August, varying by region and variety.']",0.99,0.93
Do mangoes have any cultural significance?,"Mangoes hold cultural significance in various countries, often symbolizing prosperity and love.","['Mangoes hold cultural significance in various countries, often symbolizing prosperity and love.', 'In many cultures, mangoes are associated with prosperity and love.']","['Mangoes hold cultural significance in various countries, often symbolizing prosperity and love.']",0.95,0.89
What are some unique ways to enjoy mangoes?,"One unique way to enjoy mangoes is by making mango lassi, a traditional Indian drink made with yogurt and mango pulp.","['One unique way to enjoy mangoes is by making mango lassi, a traditional Indian drink made with yogurt and mango pulp.', 'There are many unique recipes featuring mangoes, such as mango lassi.']","['One unique way to enjoy mangoes is by making mango lassi, a traditional Indian drink made with yogurt and mango pulp.']",0.94,0.88
Can mangoes be used in beauty products?,"Yes, mango butter is commonly used in skincare products for its moisturizing and nourishing properties.","['Mango butter is commonly used in skincare products for its moisturizing and nourishing properties.', 'Mangoes are a popular ingredient in various beauty and skincare products.']",['Mango butter is commonly used in skincare products for its moisturizing and nourishing properties.'],0.96,0.9
Are there any superstitions or beliefs associated with mangoes?,"In some cultures, mangoes are considered a symbol of good luck and are often included in traditional rituals and ceremonies.","['In some cultures, mangoes are considered a symbol of good luck and are often included in traditional rituals and ceremonies.', 'Mangoes hold symbolic significance in various superstitions and beliefs.']","['In some cultures, mangoes are considered a symbol of good luck and are often included in traditional rituals and ceremonies.']",0.97,0.91
How do different mango varieties differ in taste and texture?,"Different mango varieties vary in taste and texture, with some being sweeter and creamier while others are more tangy and fibrous.","['Different mango varieties vary in taste and texture, with some being sweeter and creamier while others are more tangy and fibrous.', 'Each mango variety offers a unique combination of flavors and textures.']","['Different mango varieties vary in taste and texture, with some being sweeter and creamier while others are more tangy and fibrous.']",0.98,0.92
What are the environmental impacts of mango cultivation?,"Mango cultivation can have environmental impacts related to water usage, pesticide application, and deforestation in some regions.","['Mango cultivation can have environmental impacts related to water usage, pesticide application, and deforestation in some regions.', 'There are environmental considerations associated with mango cultivation.']","['Mango cultivation can have environmental impacts related to water usage, pesticide application, and deforestation in some regions.']",0.95,0.89
Are there any mango varieties with a floral aroma?,"The Langra mango is known for its distinctive floral aroma, making it a sought-after variety for its unique fragrance.","['The Langra mango is known for its distinctive floral aroma, making it a sought-after variety for its unique fragrance.', 'Certain mango varieties are prized for their floral aromas.']","['The Langra mango is known for its distinctive floral aroma, making it a sought-after variety for its unique fragrance.']",0.96,0.9
Can mango leaves be used for medicinal purposes?,"In some traditional medicine practices, mango leaves are used to make herbal remedies for treating various ailments.","['In some traditional medicine practices, mango leaves are used to make herbal remedies for treating various ailments.', 'Mango leaves have been historically used for medicinal purposes in certain cultures.']","['In some traditional medicine practices, mango leaves are used to make herbal remedies for treating various ailments.']",0.97,0.91
What are the main challenges in mango farming?,"Challenges in mango farming include pest management, climate variability, and market fluctuations impacting profitability.","['Challenges in mango farming include pest management, climate variability, and market fluctuations impacting profitability.', 'Mango farmers face various challenges related to pest control, climate conditions, and market dynamics.']","['Challenges in mango farming include pest management, climate variability, and market fluctuations impacting profitability.']",0.98,0.92
Are there any mango festivals celebrated around the world?,"Yes, there are mango festivals celebrated in different countries, showcasing various mango varieties and culinary creations.","['There are mango festivals celebrated in different countries, showcasing various mango varieties and culinary creations.', 'Mango festivals are held in several regions to promote mango diversity and cultural significance.']","['There are mango festivals celebrated in different countries, showcasing various mango varieties and culinary creations.']",0.95,0.89
What is the significance of the mango tree in folklore and mythology?,"The mango tree is often associated with myths and folklore symbolizing love, fertility, and abundance in many cultures and traditions.","['The mango tree is often associated with myths and folklore symbolizing love, fertility, and abundance in many cultures and traditions.', 'Mango trees hold symbolic significance in various folklore and mythology.']","['The mango tree is often associated with myths and folklore symbolizing love, fertility, and abundance in many cultures and traditions.']",0.94,0.88
